"cohort_month","period_number","active_customers","cohort_size","retention_rate"
"1","0","529","529","100.00"
"1","1","429","529","81.10"
"1","2","421","529","79.58"
"1","3","416","529","78.64"
"1","4","416","529","78.64"
"1","5","422","529","79.77"
"1","6","424","529","80.15"
"1","7","424","529","80.15"
"1","8","428","529","80.91"
"1","9","430","529","81.29"
"1","10","429","529","81.10"
"1","11","429","529","81.10"
"1","12","427","529","80.72"
"1","13","428","529","80.91"
"1","14","411","529","77.69"
"1","15","437","529","82.61"
"1","16","429","529","81.10"
"1","17","428","529","80.91"
"1","18","435","529","82.23"
"1","19","437","529","82.61"
"1","20","445","529","84.12"
"1","21","441","529","83.36"
"1","22","430","529","81.29"
"1","23","407","529","76.94"
"2","0","546","546","100.00"
"2","1","449","546","82.23"
"2","2","445","546","81.50"
"2","3","433","546","79.30"
"2","4","433","546","79.30"
"2","5","425","546","77.84"
"2","6","433","546","79.30"
"2","7","422","546","77.29"
"2","8","433","546","79.30"
"2","9","433","546","79.30"
"2","10","435","546","79.67"
"2","11","426","546","78.02"
"2","12","432","546","79.12"
"2","13","441","546","80.77"
"2","14","447","546","81.87"
"2","15","459","546","84.07"
"2","16","435","546","79.67"
"2","17","439","546","80.40"
"2","18","439","546","80.40"
"2","19","442","546","80.95"
"2","20","435","546","79.67"
"2","21","427","546","78.21"
"2","22","396","546","72.53"
"3","0","687","687","100.00"
"3","1","555","687","80.79"
"3","2","547","687","79.62"
"3","3","546","687","79.48"
"3","4","547","687","79.62"
"3","5","543","687","79.04"
"3","6","557","687","81.08"
"3","7","543","687","79.04"
"3","8","540","687","78.60"
"3","9","548","687","79.77"
"3","10","562","687","81.80"
"3","11","562","687","81.80"
"3","12","563","687","81.95"
"3","13","566","687","82.39"
"3","14","577","687","83.99"
"3","15","562","687","81.80"
"3","16","552","687","80.35"
"3","17","571","687","83.11"
"3","18","559","687","81.37"
"3","19","553","687","80.49"
"3","20","567","687","82.53"
"3","21","524","687","76.27"
"4","0","729","729","100.00"
"4","1","599","729","82.17"
"4","2","593","729","81.34"
"4","3","582","729","79.84"
"4","4","583","729","79.97"
"4","5","595","729","81.62"
"4","6","607","729","83.26"
"4","7","582","729","79.84"
"4","8","580","729","79.56"
"4","9","591","729","81.07"
"4","10","597","729","81.89"
"4","11","601","729","82.44"
"4","12","596","729","81.76"
"4","13","593","729","81.34"
"4","14","581","729","79.70"
"4","15","598","729","82.03"
"4","16","609","729","83.54"
"4","17","602","729","82.58"
"4","18","602","729","82.58"
"4","19","596","729","81.76"
"4","20","569","729","78.05"
"5","0","2","2","100.00"
"5","1","2","2","100.00"
"5","3","2","2","100.00"
"5","4","2","2","100.00"
"5","5","2","2","100.00"
"5","6","2","2","100.00"
"5","7","2","2","100.00"
"5","8","2","2","100.00"
"5","9","1","2","50.00"
"5","10","1","2","50.00"
"5","11","1","2","50.00"
"5","12","2","2","100.00"
"5","13","1","2","50.00"
"5","14","1","2","50.00"
"5","15","1","2","50.00"
"5","16","1","2","50.00"
"5","17","1","2","50.00"
"5","18","1","2","50.00"
"5","19","1","2","50.00"
"6","0","1","1","100.00"
"6","1","1","1","100.00"
"6","2","1","1","100.00"
"6","3","1","1","100.00"
"6","4","1","1","100.00"
"6","5","1","1","100.00"
"6","6","1","1","100.00"
"6","7","1","1","100.00"
"6","8","1","1","100.00"
"6","9","1","1","100.00"
"6","10","1","1","100.00"
"6","11","1","1","100.00"
"6","12","1","1","100.00"
"6","13","1","1","100.00"
"6","14","1","1","100.00"
"6","15","1","1","100.00"
"6","16","1","1","100.00"
"6","17","1","1","100.00"
"6","18","1","1","100.00"
"8","0","2","2","100.00"
"8","1","1","2","50.00"
"8","2","1","2","50.00"
"8","3","1","2","50.00"
"8","4","1","2","50.00"
"8","6","2","2","100.00"
"8","11","1","2","50.00"
"8","13","1","2","50.00"
"8","14","1","2","50.00"
"8","15","1","2","50.00"
"8","16","1","2","50.00"
"10","0","1","1","100.00"
"10","5","1","1","100.00"
"10","6","1","1","100.00"
"10","8","1","1","100.00"
"10","9","1","1","100.00"
"10","10","1","1","100.00"
"10","11","1","1","100.00"
"10","12","1","1","100.00"
"10","13","1","1","100.00"
"10","14","1","1","100.00"
"15","0","1","1","100.00"
"15","1","1","1","100.00"
"15","2","1","1","100.00"
"15","4","1","1","100.00"
"15","5","1","1","100.00"
"15","6","1","1","100.00"
"15","7","1","1","100.00"
"15","8","1","1","100.00"
"15","9","1","1","100.00"
"21","0","1","1","100.00"
"21","1","1","1","100.00"
"23","0","1","1","100.00"
"23","1","1","1","100.00"
