"cohort_month","period_number","active_customers"
"1","0","529"
"1","1","429"
"1","2","421"
"1","3","416"
"1","4","416"
"1","5","422"
"1","6","424"
"1","7","424"
"1","8","428"
"1","9","430"
"1","10","429"
"1","11","429"
"1","12","427"
"1","13","428"
"1","14","411"
"1","15","437"
"1","16","429"
"1","17","428"
"1","18","435"
"1","19","437"
"1","20","445"
"1","21","441"
"1","22","430"
"1","23","407"
"2","0","546"
"2","1","449"
"2","2","445"
"2","3","433"
"2","4","433"
"2","5","425"
"2","6","433"
"2","7","422"
"2","8","433"
"2","9","433"
"2","10","435"
"2","11","426"
"2","12","432"
"2","13","441"
"2","14","447"
"2","15","459"
"2","16","435"
"2","17","439"
"2","18","439"
"2","19","442"
"2","20","435"
"2","21","427"
"2","22","396"
"3","0","687"
"3","1","555"
"3","2","547"
"3","3","546"
"3","4","547"
"3","5","543"
"3","6","557"
"3","7","543"
"3","8","540"
"3","9","548"
"3","10","562"
"3","11","562"
"3","12","563"
"3","13","566"
"3","14","577"
"3","15","562"
"3","16","552"
"3","17","571"
"3","18","559"
"3","19","553"
"3","20","567"
"3","21","524"
"4","0","729"
"4","1","599"
"4","2","593"
"4","3","582"
"4","4","583"
"4","5","595"
"4","6","607"
"4","7","582"
"4","8","580"
"4","9","591"
"4","10","597"
"4","11","601"
"4","12","596"
"4","13","593"
"4","14","581"
"4","15","598"
"4","16","609"
"4","17","602"
"4","18","602"
"4","19","596"
"4","20","569"
"5","0","2"
"5","1","2"
"5","3","2"
"5","4","2"
"5","5","2"
"5","6","2"
"5","7","2"
"5","8","2"
"5","9","1"
"5","10","1"
"5","11","1"
"5","12","2"
"5","13","1"
"5","14","1"
"5","15","1"
"5","16","1"
"5","17","1"
"5","18","1"
"5","19","1"
"6","0","1"
"6","1","1"
"6","2","1"
"6","3","1"
"6","4","1"
"6","5","1"
"6","6","1"
"6","7","1"
"6","8","1"
"6","9","1"
"6","10","1"
"6","11","1"
"6","12","1"
"6","13","1"
"6","14","1"
"6","15","1"
"6","16","1"
"6","17","1"
"6","18","1"
"8","0","2"
"8","1","1"
"8","2","1"
"8","3","1"
"8","4","1"
"8","6","2"
"8","11","1"
"8","13","1"
"8","14","1"
"8","15","1"
"8","16","1"
"10","0","1"
"10","5","1"
"10","6","1"
"10","8","1"
"10","9","1"
"10","10","1"
"10","11","1"
"10","12","1"
"10","13","1"
"10","14","1"
"15","0","1"
"15","1","1"
"15","2","1"
"15","4","1"
"15","5","1"
"15","6","1"
"15","7","1"
"15","8","1"
"15","9","1"
"21","0","1"
"21","1","1"
"23","0","1"
"23","1","1"
