"frequency","total","persentase"
"1","3","0.12"
"2","5","0.20"
"3","9","0.36"
"4","6","0.24"
"5","11","0.44"
"6","18","0.72"
"7","10","0.40"
"8","13","0.52"
"9","23","0.92"
"10","16","0.64"
"11","21","0.84"
"12","17","0.68"
"13","9","0.36"
"14","12","0.48"
"15","21","0.84"
"16","17","0.68"
"17","20","0.80"
"18","20","0.80"
"19","16","0.64"
"20","20","0.80"
"21","15","0.60"
"22","13","0.52"
"23","19","0.76"
"24","11","0.44"
"25","11","0.44"
"26","26","1.04"
"27","19","0.76"
"28","13","0.52"
"29","23","0.92"
"30","26","1.04"
"31","22","0.88"
"32","17","0.68"
"33","20","0.80"
"34","26","1.04"
"35","19","0.76"
"36","22","0.88"
"37","14","0.56"
"38","20","0.80"
"39","18","0.72"
"40","23","0.92"
"41","27","1.08"
"42","17","0.68"
"43","19","0.76"
"44","22","0.88"
"45","17","0.68"
"46","20","0.80"
"47","14","0.56"
"48","14","0.56"
"49","19","0.76"
"50","13","0.52"
"51","20","0.80"
"52","23","0.92"
"53","17","0.68"
"54","14","0.56"
"55","17","0.68"
"56","16","0.64"
"57","27","1.08"
"58","13","0.52"
"59","14","0.56"
"60","11","0.44"
"61","15","0.60"
"62","15","0.60"
"63","12","0.48"
"64","13","0.52"
"65","14","0.56"
"66","14","0.56"
"67","13","0.52"
"68","17","0.68"
"69","12","0.48"
"70","10","0.40"
"71","11","0.44"
"72","13","0.52"
"73","12","0.48"
"74","9","0.36"
"75","16","0.64"
"76","16","0.64"
"77","10","0.40"
"78","5","0.20"
"79","16","0.64"
"80","12","0.48"
"81","13","0.52"
"82","11","0.44"
"83","16","0.64"
"84","12","0.48"
"85","6","0.24"
"86","19","0.76"
"87","12","0.48"
"88","8","0.32"
"89","12","0.48"
"90","16","0.64"
"91","12","0.48"
"92","17","0.68"
"93","13","0.52"
"94","10","0.40"
"95","10","0.40"
"96","12","0.48"
"97","9","0.36"
"98","14","0.56"
"99","11","0.44"
"100","7","0.28"
"101","3","0.12"
"102","7","0.28"
"103","9","0.36"
"104","14","0.56"
"105","5","0.20"
"106","16","0.64"
"107","8","0.32"
"108","8","0.32"
"109","12","0.48"
"110","9","0.36"
"111","8","0.32"
"112","11","0.44"
"113","18","0.72"
"114","6","0.24"
"115","5","0.20"
"116","8","0.32"
"117","8","0.32"
"118","9","0.36"
"119","9","0.36"
"120","8","0.32"
"121","8","0.32"
"122","14","0.56"
"123","9","0.36"
"124","10","0.40"
"125","8","0.32"
"126","10","0.40"
"127","6","0.24"
"128","5","0.20"
"129","7","0.28"
"130","6","0.24"
"131","9","0.36"
"132","11","0.44"
"133","11","0.44"
"134","7","0.28"
"135","9","0.36"
"136","10","0.40"
"137","6","0.24"
"138","5","0.20"
"139","10","0.40"
"140","7","0.28"
"141","4","0.16"
"142","9","0.36"
"143","3","0.12"
"144","4","0.16"
"145","5","0.20"
"146","10","0.40"
"147","6","0.24"
"148","4","0.16"
"149","5","0.20"
"150","9","0.36"
"151","11","0.44"
"152","6","0.24"
"153","6","0.24"
"154","7","0.28"
"155","5","0.20"
"156","8","0.32"
"157","5","0.20"
"158","6","0.24"
"159","4","0.16"
"160","8","0.32"
"161","5","0.20"
"162","5","0.20"
"163","5","0.20"
"164","10","0.40"
"165","8","0.32"
"166","5","0.20"
"167","8","0.32"
"168","5","0.20"
"169","2","0.08"
"170","3","0.12"
"171","2","0.08"
"172","3","0.12"
"173","5","0.20"
"174","7","0.28"
"176","4","0.16"
"177","4","0.16"
"178","4","0.16"
"179","2","0.08"
"180","11","0.44"
"181","2","0.08"
"182","9","0.36"
"183","4","0.16"
"184","3","0.12"
"185","4","0.16"
"186","5","0.20"
"188","1","0.04"
"189","4","0.16"
"190","3","0.12"
"191","3","0.12"
"192","5","0.20"
"193","2","0.08"
"194","4","0.16"
"195","2","0.08"
"196","8","0.32"
"197","3","0.12"
"198","2","0.08"
"199","4","0.16"
"200","2","0.08"
"201","4","0.16"
"202","4","0.16"
"203","2","0.08"
"204","4","0.16"
"205","5","0.20"
"206","3","0.12"
"208","2","0.08"
"209","3","0.12"
"210","1","0.04"
"211","5","0.20"
"212","6","0.24"
"213","1","0.04"
"214","3","0.12"
"215","4","0.16"
"216","6","0.24"
"217","5","0.20"
"218","3","0.12"
"219","6","0.24"
"220","2","0.08"
"221","5","0.20"
"222","1","0.04"
"223","3","0.12"
"224","1","0.04"
"225","2","0.08"
"226","1","0.04"
"227","4","0.16"
"228","5","0.20"
"229","4","0.16"
"230","2","0.08"
"231","2","0.08"
"232","3","0.12"
"233","3","0.12"
"234","4","0.16"
"235","1","0.04"
"238","2","0.08"
"239","2","0.08"
"240","4","0.16"
"241","1","0.04"
"242","2","0.08"
"244","3","0.12"
"245","1","0.04"
"247","2","0.08"
"248","3","0.12"
"249","1","0.04"
"250","4","0.16"
"252","2","0.08"
"253","2","0.08"
"254","2","0.08"
"255","1","0.04"
"256","3","0.12"
"257","2","0.08"
"258","2","0.08"
"259","1","0.04"
"260","2","0.08"
"262","2","0.08"
"264","2","0.08"
"265","2","0.08"
"266","3","0.12"
"268","1","0.04"
"269","2","0.08"
"271","3","0.12"
"273","4","0.16"
"274","2","0.08"
"275","2","0.08"
"276","2","0.08"
"277","1","0.04"
"279","1","0.04"
"281","1","0.04"
"282","2","0.08"
"283","1","0.04"
"284","2","0.08"
"288","1","0.04"
"289","2","0.08"
"290","3","0.12"
"291","2","0.08"
"294","1","0.04"
"295","2","0.08"
"296","1","0.04"
"300","1","0.04"
"303","1","0.04"
"304","2","0.08"
"306","2","0.08"
"307","2","0.08"
"308","1","0.04"
"310","2","0.08"
"311","1","0.04"
"312","1","0.04"
"313","1","0.04"
"315","2","0.08"
"317","2","0.08"
"320","2","0.08"
"321","4","0.16"
"322","1","0.04"
"323","1","0.04"
"324","1","0.04"
"325","3","0.12"
"326","2","0.08"
"328","2","0.08"
"331","1","0.04"
"334","1","0.04"
"337","2","0.08"
"338","1","0.04"
"339","1","0.04"
"343","1","0.04"
"344","2","0.08"
"345","1","0.04"
"346","3","0.12"
"347","1","0.04"
"352","2","0.08"
"353","1","0.04"
"354","1","0.04"
"355","1","0.04"
"356","3","0.12"
"358","1","0.04"
"359","1","0.04"
"361","1","0.04"
"362","1","0.04"
"363","1","0.04"
"366","1","0.04"
"371","1","0.04"
"372","2","0.08"
"373","2","0.08"
"374","1","0.04"
"376","1","0.04"
"377","1","0.04"
"381","1","0.04"
"382","1","0.04"
"383","1","0.04"
"385","2","0.08"
"387","1","0.04"
"388","1","0.04"
"390","1","0.04"
"391","1","0.04"
"394","2","0.08"
"396","1","0.04"
"400","1","0.04"
"403","1","0.04"
"404","1","0.04"
"405","1","0.04"
"408","1","0.04"
"409","1","0.04"
"412","2","0.08"
"415","1","0.04"
"421","2","0.08"
"422","1","0.04"
"429","1","0.04"
"443","1","0.04"
"445","1","0.04"
"449","1","0.04"
"456","1","0.04"
"459","1","0.04"
"460","1","0.04"
"461","1","0.04"
"463","1","0.04"
"465","1","0.04"
"466","2","0.08"
"475","1","0.04"
"477","1","0.04"
"483","1","0.04"
"485","1","0.04"
"493","1","0.04"
"497","1","0.04"
"498","1","0.04"
"502","1","0.04"
"506","1","0.04"
"509","1","0.04"
"516","1","0.04"
"524","1","0.04"
"525","1","0.04"
"536","1","0.04"
"541","1","0.04"
"544","1","0.04"
"553","1","0.04"
"563","1","0.04"
"575","1","0.04"
"576","1","0.04"
"587","2","0.08"
"599","1","0.04"
"600","1","0.04"
"603","1","0.04"
"621","1","0.04"
"631","1","0.04"
"635","1","0.04"
"640","1","0.04"
"713","1","0.04"
"716","1","0.04"
"749","1","0.04"
"761","1","0.04"
"797","1","0.04"
"835","1","0.04"
"852","1","0.04"
"886","1","0.04"
"971","1","0.04"
"1138","1","0.04"
"1210","1","0.04"
"1223","1","0.04"
"1300","1","0.04"
