"monetary","total","persentase"
"8.17","1","0.04"
"19.58","1","0.04"
"27.51","1","0.04"
"28.96","1","0.04"
"29.34","1","0.04"
"33.39","1","0.04"
"38.94","1","0.04"
"39.44","1","0.04"
"42.96","1","0.04"
"50.49","1","0.04"
"52.40","1","0.04"
"55.64","1","0.04"
"59.52","1","0.04"
"62.06","1","0.04"
"66.33","1","0.04"
"68.45","1","0.04"
"69.32","1","0.04"
"69.94","1","0.04"
"70.04","1","0.04"
"72.91","1","0.04"
"76.40","1","0.04"
"76.53","1","0.04"
"77.44","1","0.04"
"79.41","1","0.04"
"83.88","1","0.04"
"84.21","1","0.04"
"84.82","1","0.04"
"86.19","1","0.04"
"88.59","1","0.04"
"91.65","1","0.04"
"92.54","1","0.04"
"93.78","1","0.04"
"96.48","1","0.04"
"96.91","1","0.04"
"101.30","1","0.04"
"103.09","1","0.04"
"103.65","1","0.04"
"105.69","1","0.04"
"106.36","1","0.04"
"111.15","1","0.04"
"111.34","1","0.04"
"117.69","1","0.04"
"118.69","1","0.04"
"119.80","1","0.04"
"120.01","1","0.04"
"120.07","1","0.04"
"120.28","1","0.04"
"121.91","1","0.04"
"122.95","1","0.04"
"125.52","1","0.04"
"128.98","1","0.04"
"131.52","1","0.04"
"131.83","1","0.04"
"133.50","1","0.04"
"133.68","1","0.04"
"134.40","1","0.04"
"134.89","1","0.04"
"135.23","1","0.04"
"135.61","1","0.04"
"137.63","1","0.04"
"140.84","1","0.04"
"149.01","1","0.04"
"149.25","1","0.04"
"149.31","1","0.04"
"152.21","1","0.04"
"156.55","1","0.04"
"156.99","1","0.04"
"158.42","1","0.04"
"158.48","1","0.04"
"158.93","1","0.04"
"159.05","1","0.04"
"159.96","1","0.04"
"160.02","1","0.04"
"160.06","1","0.04"
"161.48","1","0.04"
"161.75","1","0.04"
"161.78","1","0.04"
"161.99","1","0.04"
"163.57","1","0.04"
"164.49","1","0.04"
"166.78","1","0.04"
"168.98","1","0.04"
"170.06","1","0.04"
"172.07","1","0.04"
"172.85","1","0.04"
"173.31","1","0.04"
"177.56","1","0.04"
"178.68","1","0.04"
"178.70","1","0.04"
"181.51","1","0.04"
"182.10","1","0.04"
"182.19","1","0.04"
"183.04","1","0.04"
"183.80","1","0.04"
"184.02","1","0.04"
"187.09","1","0.04"
"188.49","1","0.04"
"188.54","1","0.04"
"189.66","1","0.04"
"190.78","1","0.04"
"195.27","1","0.04"
"196.11","1","0.04"
"197.39","1","0.04"
"199.73","1","0.04"
"202.06","1","0.04"
"203.01","1","0.04"
"203.17","1","0.04"
"203.94","1","0.04"
"209.00","1","0.04"
"212.05","1","0.04"
"215.58","1","0.04"
"217.60","1","0.04"
"222.22","1","0.04"
"224.86","1","0.04"
"226.71","2","0.08"
"230.06","1","0.04"
"230.35","1","0.04"
"230.85","1","0.04"
"231.66","1","0.04"
"233.45","1","0.04"
"234.34","1","0.04"
"234.37","1","0.04"
"234.97","1","0.04"
"240.09","1","0.04"
"240.85","1","0.04"
"241.41","1","0.04"
"242.24","1","0.04"
"242.32","1","0.04"
"247.12","1","0.04"
"247.93","1","0.04"
"249.34","1","0.04"
"249.70","1","0.04"
"251.33","1","0.04"
"251.95","1","0.04"
"252.31","1","0.04"
"253.11","1","0.04"
"255.24","1","0.04"
"255.58","1","0.04"
"258.53","1","0.04"
"260.04","1","0.04"
"260.64","1","0.04"
"260.65","1","0.04"
"261.06","1","0.04"
"262.42","1","0.04"
"263.27","1","0.04"
"264.72","1","0.04"
"265.04","1","0.04"
"265.35","1","0.04"
"266.10","1","0.04"
"266.21","1","0.04"
"267.19","1","0.04"
"269.54","1","0.04"
"270.60","1","0.04"
"271.41","1","0.04"
"271.88","1","0.04"
"272.52","1","0.04"
"273.81","1","0.04"
"274.03","1","0.04"
"274.39","1","0.04"
"275.01","1","0.04"
"276.13","1","0.04"
"277.14","1","0.04"
"278.28","1","0.04"
"278.87","1","0.04"
"279.20","1","0.04"
"284.31","1","0.04"
"286.02","1","0.04"
"292.10","1","0.04"
"293.19","1","0.04"
"295.23","1","0.04"
"296.52","1","0.04"
"297.05","1","0.04"
"297.97","1","0.04"
"298.65","1","0.04"
"298.97","1","0.04"
"299.38","1","0.04"
"301.41","1","0.04"
"303.01","1","0.04"
"303.60","1","0.04"
"304.26","1","0.04"
"304.84","1","0.04"
"304.85","1","0.04"
"304.98","1","0.04"
"306.37","1","0.04"
"307.87","1","0.04"
"307.91","1","0.04"
"310.64","1","0.04"
"311.59","1","0.04"
"312.50","1","0.04"
"313.37","1","0.04"
"313.41","1","0.04"
"313.65","1","0.04"
"313.83","1","0.04"
"315.15","1","0.04"
"315.94","1","0.04"
"319.90","1","0.04"
"320.14","1","0.04"
"320.58","1","0.04"
"321.35","1","0.04"
