"recency","total"
0,"367"
1,"262"
2,"194"
3,"157"
4,"109"
5,"116"
6,"117"
7,"85"
8,"61"
9,"57"
10,"39"
11,"34"
12,"35"
13,"39"
14,"36"
15,"39"
16,"26"
17,"36"
18,"23"
19,"36"
20,"34"
21,"25"
22,"14"
23,"12"
24,"13"
25,"9"
26,"16"
27,"21"
28,"14"
29,"13"
30,"7"
31,"8"
32,"16"
33,"7"
34,"9"
35,"8"
36,"8"
37,"10"
38,"9"
39,"6"
40,"7"
41,"4"
42,"8"
43,"8"
44,"1"
45,"5"
46,"4"
47,"4"
48,"6"
49,"10"
50,"6"
51,"6"
52,"4"
53,"7"
54,"2"
55,"7"
56,"7"
57,"8"
58,"3"
59,"5"
60,"6"
61,"4"
62,"7"
63,"4"
64,"1"
66,"7"
67,"5"
69,"6"
70,"3"
71,"2"
73,"4"
74,"5"
75,"4"
77,"1"
78,"4"
79,"4"
81,"2"
82,"2"
83,"2"
84,"4"
85,"2"
86,"1"
87,"4"
89,"3"
90,"3"
91,"5"
92,"1"
93,"3"
94,"1"
95,"2"
97,"1"
98,"1"
100,"2"
101,"4"
103,"3"
104,"2"
105,"1"
106,"6"
108,"1"
109,"3"
110,"1"
111,"1"
113,"1"
114,"2"
115,"2"
116,"2"
117,"1"
118,"1"
119,"1"
120,"3"
122,"1"
123,"4"
124,"2"
125,"3"
128,"1"
130,"3"
132,"1"
134,"1"
136,"1"
137,"1"
140,"2"
141,"4"
142,"2"
143,"2"
144,"1"
152,"1"
153,"1"
154,"2"
155,"3"
156,"1"
159,"1"
160,"2"
161,"2"
162,"2"
166,"1"
167,"2"
168,"1"
169,"1"
176,"1"
180,"2"
187,"1"
188,"1"
189,"1"
195,"1"
197,"1"
198,"1"
201,"1"
204,"1"
207,"1"
211,"1"
213,"1"
214,"1"
215,"2"
216,"2"
219,"1"
220,"1"
222,"2"
230,"1"
242,"2"
245,"1"
249,"1"
254,"1"
257,"1"
258,"3"
259,"1"
268,"1"
270,"1"
272,"1"
280,"1"
292,"1"
293,"1"
294,"1"
299,"1"
302,"1"
304,"1"
311,"1"
317,"1"
322,"1"
324,"1"
339,"1"
340,"1"
370,"1"
373,"1"
395,"1"
406,"1"
419,"1"
420,"1"
422,"1"
430,"1"
451,"1"
480,"1"
486,"1"
514,"1"
532,"1"
593,"1"
617,"1"
625,"1"
639,"2"
642,"2"
657,"1"
