household_key,recency,frequency,monetary,recency_rfm,frequency_rfm,monetary_rfm,segmentasi
1199,430,7,163.57,1,1,1,LOST
739,422,6,160.06,1,1,1,LOST
1275,420,8,137.63,1,1,1,LOST
298,419,7,224.86,1,1,1,LOST
2249,406,3,181.51,1,1,1,LOST
2009,395,33,1506.88,1,2,2,LOST
130,373,20,511.62,1,1,1,LOST
2306,370,8,62.06,1,1,1,LOST
355,340,7,340.34,1,1,1,LOST
948,339,4,304.85,1,1,1,LOST
689,324,3,28.96,1,1,1,LOST
1365,322,9,103.65,1,1,1,LOST
173,317,10,234.97,1,1,1,LOST
2164,311,40,1596.48,1,2,2,LOST
1035,304,4,183.04,1,1,1,LOST
1327,302,9,477.17,1,1,1,LOST
11,299,5,33.39,1,1,1,LOST
1472,294,4,269.54,1,1,1,LOST
870,293,12,241.41,1,1,1,LOST
1674,292,8,120.28,1,1,1,LOST
1026,280,26,412.54,1,1,1,LOST
1626,272,2,42.96,1,1,1,LOST
2422,270,5,368.07,1,1,1,LOST
1411,268,6,131.52,1,1,1,LOST
2246,259,5,321.35,1,1,1,LOST
500,258,5,84.82,1,1,1,LOST
2443,258,153,4029.19,1,4,4,RISK OF LOSING
231,258,9,325.68,1,1,1,LOST
1757,257,10,253.11,1,1,1,LOST
272,254,7,401.62,1,1,1,LOST
2051,249,288,4923.16,1,5,4,RISK OF LOSING
1610,245,11,164.49,1,1,1,LOST
634,242,35,1555.15,1,2,2,LOST
1863,242,14,411.45,1,1,1,LOST
2476,230,14,403.26,1,1,1,LOST
559,222,27,249.34,1,1,1,LOST
440,222,6,83.88,1,1,1,LOST
522,220,3,29.34,1,1,1,LOST
2106,219,52,2807.03,1,2,4,RISK OF LOSING
2463,216,12,158.42,1,1,1,LOST
54,216,11,103.09,1,1,1,LOST
1516,215,15,189.66,1,1,1,LOST
372,215,10,440.42,1,1,1,LOST
1162,214,33,431.76,1,2,1,LOST
1122,213,77,1236.98,1,3,2,RISK OF LOSING
828,211,37,1123.16,1,2,2,LOST
12,207,7,266.21,1,1,1,LOST
2166,204,30,84.21,1,1,1,LOST
1974,201,198,5266,1,5,5,RISK OF LOSING
1478,198,6,88.59,1,1,1,LOST
775,197,33,1121,1,2,2,LOST
572,195,45,903.15,1,2,2,LOST
179,189,38,620.56,1,2,1,LOST
1888,188,11,135.61,1,1,1,LOST
704,187,9,76.53,1,1,1,LOST
1371,180,45,835.71,1,2,2,LOST
651,180,8,370.53,1,1,1,LOST
584,176,56,1098.3,1,2,2,LOST
645,169,49,429.06,1,2,1,LOST
2493,168,111,2588.73,1,4,3,RISK OF LOSING
678,167,57,459.17,1,2,1,LOST
499,167,70,753.36,1,3,1,RISK OF LOSING
1232,166,22,488.49,1,1,1,LOST
760,162,70,1872.52,1,3,3,RISK OF LOSING
1934,162,15,542.87,1,1,1,LOST
1309,161,9,158.48,1,1,1,LOST
1469,161,44,1160,1,2,2,LOST
38,160,27,706.13,1,1,1,LOST
93,160,106,3346.72,1,4,4,RISK OF LOSING
1150,159,14,845.39,1,1,2,LOST
1059,156,5,72.91,1,1,1,LOST
649,155,55,1553.45,1,2,2,LOST
1840,155,37,337.21,1,2,1,LOST
370,155,133,3386.78,1,4,4,RISK OF LOSING
874,154,5,222.22,1,1,1,LOST
1031,154,146,4232.12,1,4,4,RISK OF LOSING
1028,153,12,121.91,1,1,1,LOST
2092,152,122,2290.54,1,4,3,RISK OF LOSING
509,144,16,277.14,1,1,1,LOST
917,143,44,488.48,1,2,1,LOST
1468,143,81,4131.73,1,3,4,RISK OF LOSING
2254,142,80,1270.35,1,3,2,RISK OF LOSING
682,142,217,4438.29,1,5,4,RISK OF LOSING
2491,141,62,9.507.700.000.000.000.000.000.000,1,3,2,RISK OF LOSING
1828,141,86,5813.77,1,3,5,RISK OF LOSING
1603,141,11,492.72,1,1,1,LOST
990,141,16,247.12,1,1,1,LOST
444,140,44,1261.62,1,2,2,LOST
620,140,19,304.98,1,1,1,LOST
2304,137,88,240.09,1,3,1,RISK OF LOSING
416,136,29,2177.04,1,1,3,RISK OF LOSING
2316,134,27,751.89,1,1,1,LOST
1308,132,23,320.58,1,1,1,LOST
363,130,4,52.4,1,1,1,LOST
1022,130,36,263.27,1,2,1,LOST
2329,130,100,2722.37,1,4,3,RISK OF LOSING
2073,128,72,1697.23,1,3,3,RISK OF LOSING
783,125,17,387.34,1,1,1,LOST
1973,125,130,1683.55,1,4,3,RISK OF LOSING
1009,125,23,125.52,1,1,1,LOST
642,124,64,2208.34,1,3,3,RISK OF LOSING
45,124,57,807.09,1,2,2,LOST
