"jenis_demographic","segmentasi","klasifikasi","total_rumah_tangga","persentase"
"kid_category_desc","CHAMPION","1","21","12.21"
"classification_4","CHAMPION","1","39","22.67"
"kid_category_desc","CHAMPION","2","11","6.40"
"classification_4","CHAMPION","2","43","25.00"
"classification_4","CHAMPION","3","20","11.63"
"kid_category_desc","CHAMPION","3+","15","8.72"
"classification_4","CHAMPION","4","12","6.98"
"classification_4","CHAMPION","5+","13","7.56"
"classification_1","CHAMPION","Age Group1","7","4.07"
"classification_1","CHAMPION","Age Group2","21","12.21"
"classification_1","CHAMPION","Age Group3","37","21.51"
"classification_1","CHAMPION","Age Group4","41","23.84"
"classification_1","CHAMPION","Age Group5","10","5.81"
"classification_1","CHAMPION","Age Group6","11","6.40"
"classification_5","CHAMPION","Group1","10","5.81"
"classification_5","CHAMPION","Group2","12","6.98"
"classification_5","CHAMPION","Group3","20","11.63"
"classification_5","CHAMPION","Group4","37","21.51"
"classification_5","CHAMPION","Group5","37","21.51"
"classification_5","CHAMPION","Group6","11","6.40"
"homeowner_desc","CHAMPION","Homeowner","85","49.42"
"classification_3","CHAMPION","Level1","6","3.49"
"classification_3","CHAMPION","Level10","2","1.16"
"classification_3","CHAMPION","Level12","2","1.16"
"classification_3","CHAMPION","Level2","5","2.91"
"classification_3","CHAMPION","Level3","10","5.81"
"classification_3","CHAMPION","Level4","28","16.28"
"classification_3","CHAMPION","Level5","36","20.93"
"classification_3","CHAMPION","Level6","13","7.56"
"classification_3","CHAMPION","Level7","6","3.49"
"classification_3","CHAMPION","Level8","12","6.98"
"classification_3","CHAMPION","Level9","7","4.07"
"kid_category_desc","CHAMPION","None/Unknown","80","46.51"
"homeowner_desc","CHAMPION","Probable Owner","1","0.58"
"homeowner_desc","CHAMPION","Probable Renter","2","1.16"
"homeowner_desc","CHAMPION","Renter","10","5.81"
"homeowner_desc","CHAMPION","Unknown","29","16.86"
"classification_2","CHAMPION","X","59","34.30"
"classification_2","CHAMPION","Y","52","30.23"
"classification_2","CHAMPION","Z","16","9.30"
"classification_3","CHAMPION",NULL,"45","26.16"
"kid_category_desc","CHAMPION",NULL,"45","26.16"
"classification_2","CHAMPION",NULL,"45","26.16"
"classification_5","CHAMPION",NULL,"45","26.16"
"classification_1","CHAMPION",NULL,"45","26.16"
"homeowner_desc","CHAMPION",NULL,"45","26.16"
"classification_4","CHAMPION",NULL,"45","26.16"
"classification_4","LOST","1","1","0.28"
"classification_4","LOST","2","2","0.57"
"classification_1","LOST","Age Group2","1","0.28"
"classification_1","LOST","Age Group6","2","0.57"
"classification_5","LOST","Group3","2","0.57"
"classification_5","LOST","Group5","1","0.28"
"homeowner_desc","LOST","Homeowner","1","0.28"
"classification_3","LOST","Level2","1","0.28"
"classification_3","LOST","Level3","1","0.28"
"classification_3","LOST","Level5","1","0.28"
"kid_category_desc","LOST","None/Unknown","3","0.85"
"homeowner_desc","LOST","Unknown","2","0.57"
"classification_2","LOST","X","2","0.57"
"classification_2","LOST","Z","1","0.28"
"classification_5","LOST",NULL,"349","99.15"
"kid_category_desc","LOST",NULL,"349","99.15"
"homeowner_desc","LOST",NULL,"349","99.15"
"classification_1","LOST",NULL,"349","99.15"
"classification_2","LOST",NULL,"349","99.15"
"classification_4","LOST",NULL,"349","99.15"
"classification_3","LOST",NULL,"349","99.15"
"kid_category_desc","LOYALIST","1","32","9.41"
"classification_4","LOYALIST","1","68","20.00"
"kid_category_desc","LOYALIST","2","22","6.47"
"classification_4","LOYALIST","2","83","24.41"
"classification_4","LOYALIST","3","34","10.00"
"kid_category_desc","LOYALIST","3+","15","4.41"
"classification_4","LOYALIST","4","17","5.00"
"classification_4","LOYALIST","5+","15","4.41"
"classification_1","LOYALIST","Age Group1","15","4.41"
"classification_1","LOYALIST","Age Group2","40","11.76"
"classification_1","LOYALIST","Age Group3","54","15.88"
"classification_1","LOYALIST","Age Group4","75","22.06"
"classification_1","LOYALIST","Age Group5","20","5.88"
"classification_1","LOYALIST","Age Group6","13","3.82"
"classification_5","LOYALIST","Group1","12","3.53"
"classification_5","LOYALIST","Group2","22","6.47"
"classification_5","LOYALIST","Group3","43","12.65"
"classification_5","LOYALIST","Group4","55","16.18"
"classification_5","LOYALIST","Group5","65","19.12"
"classification_5","LOYALIST","Group6","20","5.88"
"homeowner_desc","LOYALIST","Homeowner","130","38.24"
"classification_3","LOYALIST","Level1","24","7.06"
"classification_3","LOYALIST","Level10","5","1.47"
"classification_3","LOYALIST","Level11","2","0.59"
"classification_3","LOYALIST","Level12","7","2.06"
"classification_3","LOYALIST","Level2","22","6.47"
"classification_3","LOYALIST","Level3","20","5.88"
"classification_3","LOYALIST","Level4","49","14.41"
"classification_3","LOYALIST","Level5","46","13.53"
"classification_3","LOYALIST","Level6","25","7.35"
"classification_3","LOYALIST","Level7","9","2.65"
"classification_3","LOYALIST","Level8","4","1.18"
"classification_3","LOYALIST","Level9","4","1.18"
"kid_category_desc","LOYALIST","None/Unknown","148","43.53"
"homeowner_desc","LOYALIST","Probable Owner","3","0.88"
"homeowner_desc","LOYALIST","Probable Renter","4","1.18"
"homeowner_desc","LOYALIST","Renter","12","3.53"
"homeowner_desc","LOYALIST","Unknown","68","20.00"
"classification_2","LOYALIST","X","98","28.82"
"classification_2","LOYALIST","Y","87","25.59"
"classification_2","LOYALIST","Z","32","9.41"
"classification_3","LOYALIST",NULL,"123","36.18"
"classification_2","LOYALIST",NULL,"123","36.18"
"homeowner_desc","LOYALIST",NULL,"123","36.18"
"kid_category_desc","LOYALIST",NULL,"123","36.18"
"classification_4","LOYALIST",NULL,"123","36.18"
"classification_1","LOYALIST",NULL,"123","36.18"
"classification_5","LOYALIST",NULL,"123","36.18"
"classification_4","OCCASIONAL CUSTOMER","1","8","1.31"
"kid_category_desc","OCCASIONAL CUSTOMER","1","9","1.47"
"kid_category_desc","OCCASIONAL CUSTOMER","2","3","0.49"
"classification_4","OCCASIONAL CUSTOMER","2","15","2.45"
"classification_4","OCCASIONAL CUSTOMER","3","8","1.31"
"kid_category_desc","OCCASIONAL CUSTOMER","3+","5","0.82"
"classification_4","OCCASIONAL CUSTOMER","4","3","0.49"
"classification_4","OCCASIONAL CUSTOMER","5+","5","0.82"
"classification_1","OCCASIONAL CUSTOMER","Age Group1","2","0.33"
"classification_1","OCCASIONAL CUSTOMER","Age Group2","7","1.14"
"classification_1","OCCASIONAL CUSTOMER","Age Group3","8","1.31"
"classification_1","OCCASIONAL CUSTOMER","Age Group4","16","2.61"
"classification_1","OCCASIONAL CUSTOMER","Age Group5","2","0.33"
"classification_1","OCCASIONAL CUSTOMER","Age Group6","4","0.65"
"classification_5","OCCASIONAL CUSTOMER","Group1","3","0.49"
"classification_5","OCCASIONAL CUSTOMER","Group2","4","0.65"
"classification_5","OCCASIONAL CUSTOMER","Group3","5","0.82"
"classification_5","OCCASIONAL CUSTOMER","Group4","14","2.29"
"classification_5","OCCASIONAL CUSTOMER","Group5","12","1.96"
"classification_5","OCCASIONAL CUSTOMER","Group6","1","0.16"
"homeowner_desc","OCCASIONAL CUSTOMER","Homeowner","30","4.90"
"classification_3","OCCASIONAL CUSTOMER","Level1","2","0.33"
"classification_3","OCCASIONAL CUSTOMER","Level2","3","0.49"
"classification_3","OCCASIONAL CUSTOMER","Level3","3","0.49"
"classification_3","OCCASIONAL CUSTOMER","Level4","6","0.98"
"classification_3","OCCASIONAL CUSTOMER","Level5","10","1.63"
