"segmentasi","description","total_household_target","total_household_redeem","engagement_rate_pct"
"CHAMPION","TypeA","540","158","29.26"
"CHAMPION","TypeB","596","64","10.74"
"CHAMPION","TypeC","147","14","9.52"
"LOST","TypeA","42","0","0.00"
"LOST","TypeB","13","0","0.00"
"LOYALIST","TypeA","1000","191","19.10"
"LOYALIST","TypeC","177","15","8.47"
"LOYALIST","TypeB","792","67","8.46"
"OCCASIONAL CUSTOMER","TypeA","185","21","11.35"
"OCCASIONAL CUSTOMER","TypeB","77","1","1.30"
"OCCASIONAL CUSTOMER","TypeC","18","0","0.00"
"POTENTIAL LOYALIST","TypeA","1242","178","14.33"
"POTENTIAL LOYALIST","TypeC","143","12","8.39"
"POTENTIAL LOYALIST","TypeB","746","57","7.64"
"REGULAR","TypeA","661","56","8.47"
"REGULAR","TypeB","292","12","4.11"
"REGULAR","TypeC","58","1","1.72"
"RISK OF LOSING","TypeA","309","31","10.03"
"RISK OF LOSING","TypeB","139","9","6.47"
"RISK OF LOSING","TypeC","31","2","6.45"
