"segment","commodity_desc","total_tx","pct_in_segment","pct_in_population","affinity_index"
"CHAMPION","SANDWICHES","407","0.0804","0.0401","200.50"
"CHAMPION","NEWSPAPER","1912","0.3775","0.2074","182.02"
"CHAMPION","NO COMMODITY DESCRIPTION","745","0.1471","0.0906","162.36"
"CHAMPION","GARDEN CENTER","198","0.0391","0.0248","157.66"
"CHAMPION","DIETARY AID PRODUCTS","725","0.1432","0.0926","154.64"
"CHAMPION","LAXATIVES","440","0.0869","0.0571","152.19"
"CHAMPION","IMPORTED WINE","596","0.1177","0.0814","144.59"
"CHAMPION","COUPON/MISC ITEMS","7789","1.5380","1.0729","143.35"
"CHAMPION","IN-STORE PHOTOFINISHING","249","0.0492","0.0347","141.79"
"CHAMPION","JUICE","312","0.0616","0.0435","141.61"
"CHAMPION","VALENTINE","172","0.0340","0.0243","139.92"
"CHAMPION","DIAPERS & DISPOSABLES","1311","0.2589","0.1929","134.21"
"CHAMPION","FLORAL-FRESH CUT","633","0.1250","0.0939","133.12"
"CHAMPION","ADULT INCONTINENCE","142","0.0280","0.0213","131.46"
"CHAMPION","CAT LITTER","831","0.1641","0.1261","130.13"
"CHAMPION","STATIONERY & SCHOOL SUPPLIES","1739","0.3434","0.2644","129.88"
"CHAMPION","FLORAL-FLOWERING PLANTS","128","0.0253","0.0195","129.74"
"CHAMPION","BROOMS AND MOPS","900","0.1777","0.1377","129.05"
"CHAMPION","FRZN FRUITS","355","0.0701","0.0544","128.86"
"CHAMPION","ANTACIDS","475","0.0938","0.0728","128.85"
"CHAMPION","FACIAL TISS/DNR NAPKIN","1954","0.3858","0.3005","128.39"
"CHAMPION","EASTER","195","0.0385","0.0301","127.91"
"CHAMPION","ELECTRICAL SUPPPLIES","812","0.1603","0.1259","127.32"
"CHAMPION","DISHWASH DETERGENTS","1713","0.3383","0.2674","126.51"
"CHAMPION","NEW AGE","147","0.0290","0.0230","126.09"
"CHAMPION","BABY HBC","1132","0.2235","0.1782","125.42"
"CHAMPION","CAT FOOD","3965","0.7829","0.6245","125.36"
"CHAMPION","PREPARED FOOD","1204","0.2377","0.1897","125.30"
"CHAMPION","HAND/BODY/FACIAL PRODUCTS","841","0.1661","0.1326","125.26"
"CHAMPION","FROZEN CHICKEN","121","0.0239","0.0191","125.13"
"CHAMPION","SNACKS","348","0.0687","0.0552","124.46"
"CHAMPION","DOMESTIC WINE","1397","0.2759","0.2217","124.45"
"CHAMPION","CHRISTMAS  SEASONAL","698","0.1378","0.1113","123.81"
"CHAMPION","LAUNDRY ADDITIVES","1198","0.2366","0.1918","123.36"
"CHAMPION","PARTY TRAYS","111","0.0219","0.0178","123.03"
"CHAMPION","UNKNOWN","263","0.0519","0.0424","122.41"
"CHAMPION","HOUSEHOLD CLEANG NEEDS","2491","0.4919","0.4030","122.06"
"CHAMPION","BLEACH","902","0.1781","0.1473","120.91"
"CHAMPION","BATH","311","0.0614","0.0509","120.63"
"CHAMPION","BREAKFAST SWEETS","2075","0.4097","0.3400","120.50"
"CHAMPION","SALAD BAR","2229","0.4401","0.3661","120.21"
"LOST","INFANT FORMULA","112","0.1710","0.1111","153.92"
"LOST","CHICKEN/POULTRY","242","0.3696","0.2430","152.10"
"LOST","PWDR/CRYSTL DRNK MX","550","0.8400","0.5623","149.39"
"LOST","DINNER SAUSAGE","410","0.6262","0.4626","135.37"
"LOST","CAKES","166","0.2535","0.1957","129.54"
"LOST","SEAFOOD-FRESH","137","0.2092","0.1620","129.14"
"LOST","BREAKFAST SWEETS","287","0.4383","0.3400","128.91"
"LOST","PNT BTR/JELLY/JAMS","418","0.6384","0.4996","127.78"
"LOST","REFRGRATD JUICES/DRNKS","1008","1.5394","1.2123","126.98"
