"segmentasi","commodity_desc","department","jumlah_transaksi","total_quantity","rank_in_segment"
"CHAMPION","SOFT DRINKS","GROCERY","23639","31456","1"
"CHAMPION","FLUID MILK PRODUCTS","GROCERY","16423","22725","2"
"CHAMPION","BAKED BREAD/BUNS/ROLLS","GROCERY","14799","17834","3"
"CHAMPION","CHEESE","GROCERY","13757","18096","4"
"CHAMPION","BAG SNACKS","GROCERY","12702","15977","5"
"CHAMPION","FRZN MEAT/MEAT DINNERS","GROCERY","9230","12896","6"
"CHAMPION","BEEF","MEAT","9092","12243","7"
"CHAMPION","VEGETABLES - SHELF STABLE","GROCERY","8211","14667","8"
"CHAMPION","SOUP","GROCERY","7965","16004","9"
"CHAMPION","CANDY - CHECKLANE","DRUG GM","7658","12007","10"
"LOST","SOFT DRINKS","GROCERY","3091","4181","1"
"LOST","FLUID MILK PRODUCTS","GROCERY","2222","3018","2"
"LOST","BAKED BREAD/BUNS/ROLLS","GROCERY","2148","2673","3"
"LOST","CHEESE","GROCERY","1841","2414","4"
"LOST","BAG SNACKS","GROCERY","1714","1963","5"
"LOST","FRZN MEAT/MEAT DINNERS","GROCERY","1366","2051","6"
"LOST","BEEF","MEAT","1363","1889","7"
"LOST","FROZEN PIZZA","GROCERY","1279","2068","8"
"LOST","SOUP","GROCERY","1144","2167","9"
"LOST","LUNCHMEAT","MEAT-PCKGD","1098","1444","10"
"LOYALIST","SOFT DRINKS","GROCERY","29157","41000","1"
"LOYALIST","FLUID MILK PRODUCTS","GROCERY","20770","28484","2"
"LOYALIST","BAKED BREAD/BUNS/ROLLS","GROCERY","20379","23706","3"
"LOYALIST","CHEESE","GROCERY","18013","23058","4"
"LOYALIST","BAG SNACKS","GROCERY","17287","20457","5"
"LOYALIST","FRZN MEAT/MEAT DINNERS","GROCERY","14706","20550","6"
"LOYALIST","SOUP","GROCERY","11538","20728","7"
"LOYALIST","BEEF","MEAT","11161","14777","8"
"LOYALIST","FROZEN PIZZA","GROCERY","10922","16909","9"
"LOYALIST","YOGURT","GROCERY","10035","16946","10"
"OCCASIONAL CUSTOMER","SOFT DRINKS","GROCERY","9705","13567","1"
"OCCASIONAL CUSTOMER","BAKED BREAD/BUNS/ROLLS","GROCERY","7993","9872","2"
"OCCASIONAL CUSTOMER","FLUID MILK PRODUCTS","GROCERY","7654","10474","3"
"OCCASIONAL CUSTOMER","CHEESE","GROCERY","7230","9466","4"
"OCCASIONAL CUSTOMER","BAG SNACKS","GROCERY","6448","7728","5"
"OCCASIONAL CUSTOMER","FRZN MEAT/MEAT DINNERS","GROCERY","6128","8665","6"
"OCCASIONAL CUSTOMER","YOGURT","GROCERY","4877","7807","7"
"OCCASIONAL CUSTOMER","BEEF","MEAT","4650","6462","8"
"OCCASIONAL CUSTOMER","SOUP","GROCERY","4388","8045","9"
"OCCASIONAL CUSTOMER","FROZEN PIZZA","GROCERY","4375","6763","10"
"POTENTIAL LOYALIST","SOFT DRINKS","GROCERY","30150","40748","1"
"POTENTIAL LOYALIST","BAKED BREAD/BUNS/ROLLS","GROCERY","23153","27559","2"
"POTENTIAL LOYALIST","FLUID MILK PRODUCTS","GROCERY","22919","30906","3"
"POTENTIAL LOYALIST","CHEESE","GROCERY","20466","25618","4"
"POTENTIAL LOYALIST","BAG SNACKS","GROCERY","17025","20262","5"
"POTENTIAL LOYALIST","FRZN MEAT/MEAT DINNERS","GROCERY","14801","20511","6"
"POTENTIAL LOYALIST","BEEF","MEAT","13574","18173","7"
"POTENTIAL LOYALIST","YOGURT","GROCERY","13106","22595","8"
"POTENTIAL LOYALIST","SOUP","GROCERY","12622","22420","9"
"POTENTIAL LOYALIST","FROZEN PIZZA","GROCERY","11391","17107","10"
"REGULAR","SOFT DRINKS","GROCERY","14884","19977","1"
"REGULAR","FLUID MILK PRODUCTS","GROCERY","11113","14238","2"
"REGULAR","BAKED BREAD/BUNS/ROLLS","GROCERY","9917","11887","3"
"REGULAR","CHEESE","GROCERY","9231","12147","4"
"REGULAR","BAG SNACKS","GROCERY","8125","9670","5"
"REGULAR","FRZN MEAT/MEAT DINNERS","GROCERY","6649","9959","6"
"REGULAR","YOGURT","GROCERY","6229","9710","7"
"REGULAR","BEEF","MEAT","6129","8220","8"
"REGULAR","VEGETABLES - SHELF STABLE","GROCERY","5310","9885","9"
"REGULAR","SOUP","GROCERY","5235","10627","10"
"RISK OF LOSING","SOFT DRINKS","GROCERY","6906","9708","1"
"RISK OF LOSING","BAKED BREAD/BUNS/ROLLS","GROCERY","4843","6182","2"
"RISK OF LOSING","FLUID MILK PRODUCTS","GROCERY","4529","6347","3"
"RISK OF LOSING","CHEESE","GROCERY","4347","5603","4"
"RISK OF LOSING","BAG SNACKS","GROCERY","3889","4767","5"
"RISK OF LOSING","FRZN MEAT/MEAT DINNERS","GROCERY","3184","4759","6"
"RISK OF LOSING","FROZEN PIZZA","GROCERY","2907","4672","7"
"RISK OF LOSING","BEEF","MEAT","2757","3812","8"
"RISK OF LOSING","SOUP","GROCERY","2686","5018","9"
"RISK OF LOSING","VEGETABLES - SHELF STABLE","GROCERY","2231","4282","10"
