"segmentasi","commodity_desc","department","jumlah_transaksi","total_quantity","total_penjualan","rank_in_segment"
"CHAMPION","COUPON/MISC ITEMS","KIOSK-GAS","5490","63906774","148056.89","1"
"CHAMPION","SOFT DRINKS","GROCERY","23639","31456","62519.54","2"
"CHAMPION","BEEF","MEAT","9092","12243","61528.62","3"
"CHAMPION","COUPON/MISC ITEMS","MISC SALES TRAN","2016","17324450","50737.98","4"
"CHAMPION","FLUID MILK PRODUCTS","GROCERY","16423","22725","41037.50","5"
"CHAMPION","CHEESE","GROCERY","13757","18096","36104.36","6"
"CHAMPION","BEERS/ALES","GROCERY","3624","3938","29513.73","7"
"CHAMPION","FRZN MEAT/MEAT DINNERS","GROCERY","9230","12896","28104.65","8"
"CHAMPION","BAG SNACKS","GROCERY","12702","15977","27165.95","9"
"CHAMPION","BAKED BREAD/BUNS/ROLLS","GROCERY","14799","17834","26961.56","10"
"LOST","BEEF","MEAT","1363","1889","8576.49","1"
"LOST","SOFT DRINKS","GROCERY","3091","4181","8092.9400000000000004440892","2"
"LOST","COUPON/MISC ITEMS","KIOSK-GAS","315","2657412","6258.37","3"
"LOST","FLUID MILK PRODUCTS","GROCERY","2222","3018","4984.46","4"
"LOST","CHEESE","GROCERY","1841","2414","4637.34","5"
"LOST","FROZEN PIZZA","GROCERY","1279","2068","4303.56","6"
"LOST","BAG SNACKS","GROCERY","1714","1963","3825.39","7"
"LOST","BEERS/ALES","GROCERY","396","465","3755.85","8"
"LOST","FRZN MEAT/MEAT DINNERS","GROCERY","1366","2051","3740.64","9"
"LOST","BAKED BREAD/BUNS/ROLLS","GROCERY","2148","2673","3631.76","10"
"LOYALIST","COUPON/MISC ITEMS","KIOSK-GAS","5831","65456114","152224.04","1"
"LOYALIST","SOFT DRINKS","GROCERY","29157","41000","83787.57","2"
"LOYALIST","BEEF","MEAT","11161","14777","68556.800000000000001776357","3"
"LOYALIST","FLUID MILK PRODUCTS","GROCERY","20770","28484","49694.62","4"
"LOYALIST","CHEESE","GROCERY","18013","23058","44528.92","5"
"LOYALIST","FRZN MEAT/MEAT DINNERS","GROCERY","14706","20550","41548.4100000000000002220446","6"
"LOYALIST","BAG SNACKS","GROCERY","17287","20457","37539.20","7"
"LOYALIST","BEERS/ALES","GROCERY","4328","4930","35772.19","8"
"LOYALIST","FROZEN PIZZA","GROCERY","10922","16909","35717.96","9"
"LOYALIST","BAKED BREAD/BUNS/ROLLS","GROCERY","20379","23706","34806.5200000000000004440892","10"
"OCCASIONAL CUSTOMER","BEEF","MEAT","4650","6462","31693.43","1"
"OCCASIONAL CUSTOMER","SOFT DRINKS","GROCERY","9705","13567","29384.00","2"
"OCCASIONAL CUSTOMER","COUPON/MISC ITEMS","KIOSK-GAS","826","8850384","20695.15","3"
"OCCASIONAL CUSTOMER","FLUID MILK PRODUCTS","GROCERY","7654","10474","18552.96","4"
"OCCASIONAL CUSTOMER","CHEESE","GROCERY","7230","9466","18367.13","5"
"OCCASIONAL CUSTOMER","FRZN MEAT/MEAT DINNERS","GROCERY","6128","8665","17992.53","6"
"OCCASIONAL CUSTOMER","FROZEN PIZZA","GROCERY","4375","6763","15121.29","7"
"OCCASIONAL CUSTOMER","BAG SNACKS","GROCERY","6448","7728","14935.13","8"
"OCCASIONAL CUSTOMER","BAKED BREAD/BUNS/ROLLS","GROCERY","7993","9872","14387.32","9"
"OCCASIONAL CUSTOMER","BEERS/ALES","GROCERY","1434","1635","12744.90","10"
"POTENTIAL LOYALIST","COUPON/MISC ITEMS","KIOSK-GAS","4585","47456150","110603.94","1"
"POTENTIAL LOYALIST","BEEF","MEAT","13574","18173","85041.83","2"
"POTENTIAL LOYALIST","SOFT DRINKS","GROCERY","30150","40748","83237.98","3"
"POTENTIAL LOYALIST","FLUID MILK PRODUCTS","GROCERY","22919","30906","55405.90","4"
"POTENTIAL LOYALIST","CHEESE","GROCERY","20466","25618","51132.14","5"
"POTENTIAL LOYALIST","FRZN MEAT/MEAT DINNERS","GROCERY","14801","20511","41658.10","6"
"POTENTIAL LOYALIST","BAKED BREAD/BUNS/ROLLS","GROCERY","23153","27559","40938.49","7"
"POTENTIAL LOYALIST","BEERS/ALES","GROCERY","5008","5474","40185.70","8"
"POTENTIAL LOYALIST","FROZEN PIZZA","GROCERY","11391","17107","37841.13","9"
